DY
100
7
c0;c1;c2;c3;c4;c5;c6;
T05_3147.jpg; 0; 5419; 234; 0; 206; 0; 5
T03_2984.jpg; 0; 5175; 25; 0; 9; 3; 3
T05_3225.jpg; 0; 5979; 211; 0; 4; 1; 5
T05_3210.jpg; 0; 5584; 227; 0; 10; 0; 5
T01_2531.jpg; 0; 5786; 433; 0; 1; 3; 1
T04_372290.jpg; 0; 5936; 27; 0; 93; 3; 4
T01_2525.jpg; 0; 5956; 229; 0; 3; 1; 1
T03_3032.jpg; 0; 6191; 182; 0; 3; 4; 3
T04_372305.jpg; 0; 5881; 493; 0; 7; 3; 4
T02_2162.jpg; 0; 5967; 423; 0; 4; 0; 2
T03_2975.jpg; 0; 6155; 221; 0; 4; 3; 3
T01_2041.jpg; 0; 5649; 194; 0; 137; 2; 1
T01_2535.jpg; 0; 5755; 429; 0; 5; 1; 1
T05_3254.jpg; 0; 6123; 252; 0; 8; 0; 5
T03_2972.jpg; 0; 6340; 29; 0; 4; 6; 3
T02_2167.jpg; 0; 4799; 397; 0; 201; 0; 2
T01_1998.jpg; 0; 5893; 285; 0; 203; 6; 1
T04_372293.jpg; 0; 4801; 229; 0; 206; 3; 4
T03_2993.jpg; 0; 5744; 28; 0; 1; 1; 3
T05_3158.jpg; 0; 6129; 255; 0; 7; 0; 5
T03_2971.jpg; 0; 5992; 401; 0; 2; 0; 3
T04_372304.jpg; 0; 6223; 45; 0; 1; 5; 4
T01_2046.jpg; 0; 6288; 87; 0; 1; 11; 1
T03_3020.jpg; 0; 6353; 25; 0; 3; 1; 3
T05_3183.jpg; 0; 5730; 460; 0; 200; 1; 5
T03_3044.jpg; 0; 5981; 26; 0; 4; 7; 3
T03_3023.jpg; 0; 5670; 326; 0; 5; 6; 3
T05_3186.jpg; 0; 4374; 236; 0; 202; 193; 5
T05_3221.jpg; 0; 5508; 62; 0; 201; 198; 5
T04_372294.jpg; 0; 5949; 25; 0; 4; 4; 4
T03_3036.jpg; 0; 5975; 25; 0; 7; 5; 3
T02_2159.jpg; 0; 5362; 234; 0; 2; 0; 2
T05_3214.jpg; 0; 5541; 244; 0; 405; 0; 5
T02_2161.jpg; 0; 5998; 398; 0; 1; 0; 2
T01_1892.jpg; 0; 5874; 108; 0; 202; 5; 1
T04_372295.jpg; 0; 5924; 459; 0; 4; 4; 4
T01_2536.jpg; 0; 5417; 631; 0; 3; 2; 1
T05_3223.jpg; 0; 5772; 230; 0; 6; 1; 5
T01_2133.jpg; 0; 5782; 230; 0; 3; 173; 1
T04_372308.jpg; 0; 5918; 223; 0; 10; 4; 4
T05_3220.jpg; 0; 5652; 233; 0; 6; 1; 5
T01_2042.jpg; 0; 5743; 232; 0; 203; 0; 1
T01_2530.jpg; 0; 5772; 611; 0; 3; 3; 1
T01_2532.jpg; 0; 5430; 563; 0; 201; 2; 1
T04_372310.jpg; 0; 6096; 74; 0; 3; 205; 4
T05_3197.jpg; 0; 5383; 35; 0; 373; 1; 5
T04_372291.jpg; 0; 4861; 32; 0; 63; 1; 4
T04_372309.jpg; 0; 5783; 273; 0; 5; 6; 4
T04_372313.jpg; 0; 5891; 25; 0; 2; 2; 4
T04_372306.jpg; 0; 6306; 29; 0; 0; 4; 4
T02_2143.jpg; 0; 6029; 362; 0; 1; 2; 2
T01_2539.jpg; 0; 5954; 225; 0; 3; 5; 1
