DY
100
7
c0;c1;c2;c3;c4;c5;c6;
T12_30.jpg; 0; 4934; 214; 0; 10; 201; 12
T21_20.jpg; 0; 6165; 38; 0; 188; 1; 21
T24_30.jpg; 0; 5095; 102; 0; 191; 0; 24
T01_40.jpg; 0; 5778; 23; 0; 194; 8; 1
T09_20.jpg; 0; 6298; 79; 0; 3; 5; 9
T20_30.jpg; 0; 6371; 16; 0; 2; 3; 20
T25_40.jpg; 0; 6208; 5; 0; 90; 0; 25
T07_30.jpg; 0; 5103; 193; 0; 96; 0; 7
T04_20.jpg; 0; 5045; 416; 0; 215; 0; 4
T10_20.jpg; 0; 5722; 428; 0; 2; 186; 10
T18_10.jpg; 0; 5604; 572; 0; 8; 1; 18
T08_40.jpg; 0; 5494; 326; 0; 191; 1; 8
T17_40.jpg; 0; 4988; 816; 0; 6; 3; 17
T18_40.jpg; 0; 5001; 787; 0; 398; 2; 18
T15_40.jpg; 0; 6378; 11; 0; 2; 2; 15
T23_40.jpg; 0; 5189; 390; 0; 405; 0; 23
T16_40.jpg; 0; 5304; 426; 0; 199; 3; 16
T16_10.jpg; 0; 5578; 223; 0; 196; 2; 16
T18_20.jpg; 0; 5261; 422; 0; 125; 2; 18
T03_20.jpg; 0; 5569; 411; 0; 208; 2; 3
T19_20.jpg; 0; 5246; 424; 0; 109; 1; 19
T11_20.jpg; 0; 5261; 221; 0; 305; 1; 11
T11_30.jpg; 0; 5783; 23; 0; 6; 201; 11
T16_30.jpg; 0; 5362; 28; 0; 207; 1; 16
T19_30.jpg; 0; 4999; 417; 0; 209; 0; 19
T22_30.jpg; 0; 5963; 212; 0; 10; 193; 22
T14_10.jpg; 0; 5736; 632; 0; 5; 0; 14
T04_40.jpg; 0; 5625; 615; 0; 60; 5; 4
T23_30.jpg; 0; 5898; 26; 0; 4; 168; 23
T23_10.jpg; 0; 5324; 431; 0; 394; 2; 23
T11_10.jpg; 0; 5804; 376; 0; 192; 2; 11
